Rank,Team,2025,Last 3,Last 1,Home,Away,2024
198,Norfolk St,-1.4,-1.3,+8.0,-1.0,-1.7,+1.8
200,Iona,-1.4,-3.7,-8.0,-2.7,-0.5,-1.6
201,Minnesota,-1.5,+1.3,-5.0,+4.3,-13.0,+1.1
201,Loyola MD,-1.5,-3.3,-12.0,0.0,-1.8,-1.4
201,N Kentucky,-1.5,+4.0,+13.0,+13.0,-6.3,+1.5
201,Coastal Car,-1.5,+0.3,-17.0,-1.0,-1.6,-4.1
205,Brown,-1.6,+1.7,-5.0,-4.3,+2.0,-2.2
206,UT Rio Grande,-1.6,-6.7,-3.0,--,-1.6,-2.1
207,Louisiana Tech,-1.7,-1.7,-4.0,+10.0,-7.5,+2.7
208,Furman,-1.8,+1.3,-2.0,+4.0,-7.5,-0.1
209,Campbell,-1.8,+4.3,+7.0,+4.0,-3.3,+1.2
210,St Thomas,-1.9,+1.3,+8.0,-6.5,-0.3,+0.1
211,Georgia So,-2.0,-7.3,-4.0,+10.0,-4.4,-1.8
211,Morgan St,-2.0,-3.3,-15.0,+5.0,-6.7,-1.4
211,San Diego St,-2.0,-8.3,-28.0,+6.7,-28.0,+3.6
214,Holy Cross,-2.1,-3.0,-4.0,-4.0,-1.8,-2.3
215,Mercyhurst,-2.2,-2.0,-5.0,-4.0,-1.8,-5.6
215,Tarleton St,-2.2,+9.3,+17.0,0.0,-3.3,-5.9
215,Denver,-2.2,-1.3,-2.0,+4.0,-3.4,-2.7
218,Sam Houston,-2.3,-2.3,+3.0,+3.0,-5.0,-2.5
219,Saint Peter's,-2.4,+0.3,-3.0,-1.0,-3.3,-2.2
220,North Dakota,-2.4,+1.7,+15.0,-1.0,-3.0,-2.4
220,Green Bay,-2.4,+2.3,+8.0,--,-2.4,-5.9
222,Idaho St,-2.5,-1.3,-1.0,--,-2.5,+0.8
223,Alabama A&M,-2.7,-2.7,+7.0,+1.5,-11.0,-5.3
224,Le Moyne,-2.8,+2.0,+4.0,+5.0,-8.0,-4.9
224,Sacramento St,-2.8,-1.7,-10.0,+4.0,-7.3,-2.3
224,Davidson,-2.8,-3.7,-16.0,-1.5,-3.7,-1.9
224,Weber St,-2.8,+1.0,+5.0,+1.5,-5.7,-3.2
228,Drexel,-2.8,+3.3,+3.0,+3.3,-9.0,+1.7
229,Lipscomb,-3.0,+1.0,+10.0,+10.0,-6.3,+5.6
229,Cleveland St,-3.0,+4.0,-3.0,-3.0,-3.0,+0.4
229,Abl Christian,-3.0,-4.7,-2.0,+2.0,-4.7,-2.9
232,Gardner-Webb,-3.2,+0.3,-3.0,--,-3.2,-2.6
232,Sacred Heart,-3.2,+0.3,+3.0,+2.0,-4.5,-1.3
234,UTSA,-3.3,-0.3,+2.0,-12.0,-0.3,-1.2
235,Fairfield,-3.3,-4.0,-4.0,-4.0,-3.0,-3.4
235,New Haven,-3.3,+3.0,-9.0,-4.3,-2.3,--
235,App State,-3.3,-0.3,-14.0,-1.0,-5.7,-0.6
238,Incarnate Word,-3.5,+2.0,-5.0,--,-3.5,-0.4
238,UMBC,-3.5,-4.0,-7.0,+4.0,-6.0,-0.5
240,Presbyterian,-3.6,-13.3,-21.0,+2.0,-5.8,+1.2
241,Austin Peay,-3.6,-5.0,-16.0,--,-3.6,-1.5
242,C Michigan,-3.7,-2.7,-9.0,-3.0,-4.0,-1.4
242,Oakland,-3.7,+3.7,+12.0,--,-3.7,-1.9
244,Stony Brook,-3.8,-8.3,-13.0,+1.5,-9.0,-3.8
244,McNeese,-3.8,-2.3,-10.0,+5.0,-6.7,+4.0
246,Chattanooga,-3.8,+2.7,+7.0,+7.0,-6.5,+4.1
247,Lindenwood,-3.8,-1.7,+6.0,+6.0,-5.8,-3.2
248,Navy,-4.0,-2.3,+1.0,-6.5,-2.3,-0.7
248,Saint Joseph's,-4.0,-11.0,-9.0,+6.5,-11.0,+4.2
250,Nicholls,-4.2,-3.0,+1.0,--,-4.2,+0.4
250,Memphis,-4.2,-5.3,-7.0,-4.5,-4.0,+5.8
252,S Indiana,-4.4,-2.3,-1.0,-11.0,-2.8,-1.9
252,Elon,-4.4,-5.7,+14.0,-11.0,-2.8,+2.1
252,CS Bakersfield,-4.4,-5.3,-1.0,+4.5,-10.3,-0.4
255,South Dakota,-4.5,-9.3,-8.0,-0.3,-13.0,+0.7
256,Bellarmine,-4.6,+4.3,+8.0,+5.0,-7.0,-5.3
257,Utah Tech,-4.7,-2.3,+3.0,--,-4.7,-3.0
257,Ohio,-4.7,-3.0,-4.0,-0.7,-8.7,-0.2
257,Cal Poly,-4.7,-0.3,0.0,--,-4.7,+0.2
260,N Arizona,-5.0,-5.0,0.0,0.0,-7.5,+1.3
260,Jacksonville St,-5.0,-5.0,-5.0,-5.0,-5.0,+1.8
260,E Kentucky,-5.0,-2.0,-13.0,-2.0,-7.0,-1.3
260,E Carolina,-5.0,-7.0,-5.0,-2.0,-8.0,+1.7
260,SE Louisiana,-5.0,-2.0,-2.0,--,-5.0,-0.8
260,Canisius,-5.0,-2.0,+11.0,+1.3,-11.3,-6.7
266,Portland,-5.2,-0.7,-8.0,-0.8,-27.0,-4.7
267,Lamar,-5.3,-3.0,-12.0,--,-5.3,+2.0
267,UCSB,-5.3,-5.0,-9.0,-7.5,-3.0,+1.2
267,Texas A&M-CC,-5.3,-4.7,-14.0,--,-5.3,+0.6
270,Charleston So,-5.3,-7.3,+5.0,-8.0,-4.8,-3.5
271,W Carolina,-5.4,0.0,-10.0,+5.0,-12.3,-5.7
271,E Washington,-5.4,-7.7,-9.0,--,-5.4,-4.5
271,Morehead St,-5.4,-2.3,+9.0,--,-5.4,-4.2
274,Youngstown St,-5.5,-10.3,+4.0,--,-5.5,+1.7
275,Binghamton,-5.7,+1.7,-11.0,-11.0,-4.6,-3.3
276,NJIT,-5.7,-10.7,-13.0,-4.0,-6.4,-5.1
277,N Colorado,-5.8,-4.3,-2.0,--,-5.8,+1.1
277,Robert Morris,-5.8,-4.7,+1.0,--,-5.8,+4.4
279,NW State,-5.8,-0.3,-3.0,--,-5.8,-2.3
280,Idaho,-6.0,-6.0,-18.0,--,-6.0,-4.3
280,Wofford,-6.0,-3.0,+9.0,+2.5,-11.7,-1.2
280,Tennessee St,-6.0,-6.0,-7.0,--,-6.0,-1.0
280,Utah Valley,-6.0,-6.0,+3.0,+3.0,-10.5,+3.3
284,Miss Valley St,-6.2,+2.3,+1.0,--,-6.2,-14.9
284,NC Greensboro,-6.2,+9.7,+24.0,0.0,-9.3,+2.0
286,Jacksonville,-6.2,-2.0,+5.0,--,-6.2,-0.1
287,Princeton,-6.3,-5.7,-18.0,+2.5,-10.8,+1.6
287,Milwaukee,-6.3,-16.7,-19.0,+4.0,-11.5,+2.1
287,New Orleans,-6.3,-4.7,-6.0,--,-6.3,-5.1
287,Stonehill,-6.3,-13.7,-5.0,-5.0,-6.6,-1.5
291,Prairie View,-6.4,+2.3,+15.0,--,-6.4,-6.2
291,Omaha,-6.4,-8.3,-13.0,+1.0,-8.3,-1.8
293,Niagara,-6.5,-18.0,-18.0,+3.0,-8.4,-1.0
293,NC Asheville,-6.5,-4.3,-4.0,+1.0,-9.0,+2.0
295,Bethune,-6.6,-4.3,-5.0,--,-6.6,-1.0
296,Grambling,-6.7,-3.7,-15.0,-7.0,-6.6,-1.9
296,Maine,-6.7,-3.0,+5.0,-4.5,-7.8,+1.0
296,Rice,-6.7,-10.0,-1.0,-6.0,-7.3,+0.1
296,Old Dominion,-6.7,+1.3,-3.0,+7.0,-13.5,-0.6
300,IU Indy,-6.7,-4.3,-14.0,-11.0,-6.0,-3.3
300,Troy,-6.7,-4.3,-13.0,--,-6.7,+1.7
302,Middle Tenn,-6.8,-8.0,-5.0,--,-6.8,-0.3
302,Mercer,-6.8,-8.0,-3.0,+4.0,-10.3,-2.1
304,Longwood,-6.8,-7.3,-14.0,-2.3,-13.5,+2.6
305,Colgate,-7.0,-3.7,-4.0,-11.5,-4.8,+0.2
305,Texas St,-7.0,+1.3,+7.0,+0.8,-22.5,+1.1
305,William & Mary,-7.0,-12.0,-1.0,--,-7.0,-2.7
308,Ball St,-7.3,-13.7,-19.0,+4.0,-18.5,-2.5
309,Wagner,-7.4,-3.7,0.0,--,-7.4,-3.9
309,Lafayette,-7.4,-6.3,+5.0,-13.0,-6.0,-0.6
311,Manhattan,-7.6,-10.3,-13.0,--,-7.6,+1.9
312,Merrimack,-7.7,-3.3,-8.0,0.0,-9.2,-0.2
313,SE Missouri St,-7.8,-5.0,-5.0,0.0,-10.3,+0.2
313,American,-7.8,-9.7,-9.0,+1.0,-10.7,-0.5
315,Purdue FW,-7.8,-10.3,-16.0,--,-7.8,+0.4
315,Long Beach St,-7.8,-3.3,-8.0,-1.0,-12.3,-3.7
315,Stetson,-7.8,+0.3,+13.0,+3.5,-15.3,-4.8
318,CS Northridge,-8.0,-5.7,+7.0,+7.0,-13.0,+3.4
