Rank,Team,2025,Last 3,Last 1,Home,Away,2024
138,Washington,36.6,35.0,29.0,35.7,38.0,33.2
142,Colgate,36.5,33.7,41.0,42.0,33.8,33.5
142,NC Wilmington,36.5,37.3,31.0,40.5,32.5,38.2
142,St Thomas,36.5,34.0,36.0,47.0,33.0,39.5
145,Troy,36.4,34.3,36.0,--,36.4,34.4
146,E Tennessee St,36.4,41.0,54.0,41.7,28.5,33.8
146,Navy,36.4,38.0,51.0,41.0,33.3,32.1
148,Arizona St,36.3,35.7,39.0,36.3,36.5,35.2
148,Notre Dame,36.3,34.3,32.0,38.0,33.0,33.8
148,NC A&T,36.3,36.3,45.0,36.0,36.5,32.7
151,Stony Brook,36.3,35.7,20.0,43.5,29.0,30.5
151,San Diego St,36.3,35.0,33.0,37.3,33.0,30.9
153,Illinois Chicago,36.0,35.0,37.0,38.0,35.5,35.0
153,Maryland,36.0,36.3,27.0,33.3,38.7,40.0
153,Mississippi St,36.0,34.3,28.0,35.3,36.7,36.8
153,Le Moyne,36.0,36.0,38.0,35.0,36.7,32.1
157,Syracuse,35.8,35.7,34.0,36.0,35.5,33.9
158,Siena,35.7,37.7,39.0,37.7,33.7,31.9
159,Southern Miss,35.6,35.3,41.0,--,35.6,33.5
159,N Illinois,35.6,33.3,42.0,45.0,33.3,31.4
159,Oregon,35.6,39.3,37.0,35.3,37.0,36.3
159,San Francisco,35.6,40.0,34.0,40.7,28.0,35.4
163,Xavier,35.6,42.7,36.0,35.8,35.3,36.6
164,UL Monroe,35.5,34.7,33.0,27.0,37.2,30.1
164,The Citadel,35.5,39.3,31.0,39.5,31.5,28.3
164,Texas St,35.5,35.7,28.0,36.3,34.0,33.8
167,Pittsburgh,35.4,37.0,37.0,37.4,30.5,33.9
168,Temple,35.4,33.3,36.0,35.3,36.0,36.1
168,Davidson,35.4,36.0,30.0,42.5,30.7,34.6
168,N Iowa,35.4,34.3,35.0,35.5,35.0,35.4
171,Idaho,35.3,35.3,36.0,--,35.3,33.9
171,Minnesota,35.3,27.0,27.0,38.8,28.5,29.7
171,Toledo,35.3,37.3,30.0,37.0,32.0,36.5
171,Georgia So,35.3,32.0,30.0,32.0,36.0,34.1
171,Bradley,35.3,38.3,40.0,36.3,34.3,36.6
171,Utah Valley,35.3,35.3,31.0,31.0,37.5,33.8
177,Southern,35.3,36.3,35.0,--,35.3,35.0
177,N Dakota St,35.3,36.3,53.0,41.5,29.0,38.8
177,American,35.3,35.7,33.0,42.0,33.0,30.5
180,Bowling Green,35.2,33.0,35.0,34.3,36.5,33.5
180,Wofford,35.2,35.7,34.0,40.5,31.7,35.0
180,Belmont,35.2,34.3,36.0,32.7,39.0,37.8
183,N Kentucky,35.0,36.3,33.0,33.0,35.7,33.4
183,Buffalo,35.0,35.7,31.0,36.0,33.5,31.6
183,Seton Hall,35.0,34.7,35.0,35.0,35.0,27.3
183,SE Missouri St,35.0,35.0,25.0,29.0,37.0,33.8
187,Samford,34.9,31.7,32.0,35.0,34.8,38.8
188,Youngstown St,34.8,36.7,32.0,--,34.8,32.8
189,Bethune,34.8,35.3,30.0,--,34.8,32.3
189,Quinnipiac,34.8,34.3,47.0,32.5,36.3,35.5
189,UT Rio Grande,34.8,32.3,31.0,--,34.8,34.6
192,Missouri St,34.8,31.0,40.0,38.0,25.0,30.5
193,Boston College,34.7,36.0,40.0,35.0,34.5,32.5
193,Charleston,34.7,34.0,40.0,37.5,33.6,36.3
195,Cleveland St,34.7,29.3,25.0,27.0,36.2,33.5
195,Marshall,34.7,31.7,27.0,35.7,33.7,35.1
195,Sam Houston,34.7,34.7,37.0,37.0,33.5,34.4
195,Tulane,34.7,36.7,39.0,33.3,36.0,33.8
199,Memphis,34.6,34.7,33.0,36.0,33.7,35.2
200,LIU,34.6,27.7,35.0,56.0,31.0,30.4
201,Coastal Car,34.5,35.0,20.0,37.0,34.0,29.9
201,Fresno St,34.5,37.7,41.0,34.5,--,30.8
201,Delaware,34.5,36.7,24.0,49.0,29.7,38.4
201,Monmouth,34.5,34.3,36.0,36.0,34.0,33.3
201,Rhode Island,34.5,33.0,21.0,39.0,30.0,36.7
206,Pacific,34.4,35.7,35.0,25.0,36.8,31.8
207,NC Greensboro,34.3,30.3,25.0,35.5,33.8,33.1
208,West Virginia,34.3,32.0,28.0,36.0,30.0,32.6
209,Stetson,34.2,36.0,44.0,37.5,32.0,31.8
209,La Salle,34.2,28.7,28.0,37.7,29.0,33.0
211,Oakland,34.2,38.3,34.0,--,34.2,34.0
211,Nevada,34.2,33.0,32.0,34.2,34.0,32.8
213,North Dakota,34.1,31.7,29.0,35.5,33.6,35.7
214,Mt St Mary's,34.0,34.0,34.0,30.0,34.8,31.8
214,Kansas City,34.0,29.7,35.0,47.0,30.8,31.4
214,Rutgers,34.0,30.3,30.0,34.8,30.0,37.1
214,Drexel,34.0,35.0,35.0,35.0,33.0,33.3
214,VMI,34.0,32.3,33.0,37.0,33.4,32.5
214,E Kentucky,34.0,35.7,35.0,37.0,32.0,37.7
214,NC Asheville,34.0,35.3,38.0,29.0,35.7,36.0
214,Pepperdine,34.0,36.0,32.0,36.0,28.0,34.5
222,W Georgia,33.8,33.0,34.0,39.5,31.0,32.2
222,Arkansas St,33.8,35.7,38.0,38.0,33.0,38.1
222,Georgia Tech,33.8,38.0,33.0,31.6,45.0,35.3
222,Ohio,33.8,35.3,33.0,33.0,34.7,37.6
226,C Arkansas,33.8,37.3,45.0,43.0,27.7,30.5
227,UMass Lowell,33.7,37.3,31.0,37.0,33.0,34.9
227,Dartmouth,33.7,33.7,37.0,36.0,29.0,36.2
229,S Utah,33.6,35.0,40.0,35.0,33.3,30.2
230,Air Force,33.6,38.7,48.0,32.8,38.0,28.3
231,UC Riverside,33.5,33.3,30.0,31.0,34.8,34.9
231,New Mexico St,33.5,33.5,40.0,33.5,--,33.2
231,E Carolina,33.5,30.0,30.0,37.0,30.0,32.1
231,Wright St,33.5,35.3,32.0,39.0,31.7,36.8
231,Robert Morris,33.5,36.0,35.0,--,33.5,34.8
236,C Connecticut,33.4,38.0,54.0,54.0,28.3,33.2
236,N Alabama,33.4,31.3,26.0,41.0,28.3,37.8
236,St Francis PA,33.4,31.3,28.0,34.0,33.3,32.5
236,Campbell,33.4,34.7,28.0,39.0,32.0,30.7
236,Montana St,33.4,32.0,35.0,38.0,32.3,33.7
241,Denver,33.3,32.3,28.0,28.0,34.4,32.5
241,N Arizona,33.3,33.3,52.0,52.0,24.0,34.8
241,C Michigan,33.3,35.7,36.0,34.0,33.0,34.0
