Rank,Team,2025,Last 3,Last 1,Home,Away,2024
132,SMU,38.0,35.7,34.0,38.0,,37.9
132,UC Riverside,38.0,37.0,38.0,36.5,38.8,38.8
132,Wake Forest,38.0,40.3,35.0,37.0,39.0,35.2
132,Miami OH,38.0,41.7,48.0,39.0,35.0,38.6
132,Wright St,38.0,36.3,30.0,47.0,35.0,40.8
132,Winthrop,38.0,33.7,30.0,30.0,39.6,43.0
132,S Dakota St,38.0,39.7,39.0,39.0,37.7,38.7
132,Charlotte,38.0,36.0,35.0,38.3,37.5,38.0
141,North Dakota,38.1,32.0,34.0,43.0,36.2,43.0
142,Drexel,38.2,34.3,37.0,34.3,42.0,33.3
142,Fresno St,38.2,36.3,39.0,38.2,,40.4
142,Mississippi St,38.2,42.7,34.0,30.7,45.7,38.4
142,Loyola MD,38.2,42.7,38.0,37.0,38.4,37.0
146,NC Wilmington,38.3,36.7,46.0,32.0,44.5,36.1
146,UCSD,38.3,38.0,40.0,35.0,41.5,32.8
148,Canisius,38.3,41.3,40.0,35.7,41.0,41.3
149,Montana St,38.4,34.3,35.0,37.0,38.8,36.3
149,Santa Clara,38.4,36.7,28.0,36.0,48.0,38.6
151,Auburn,38.5,37.3,36.0,40.3,35.0,37.3
151,Butler,38.5,40.3,31.0,36.7,40.3,37.8
151,Minnesota,38.5,35.7,43.0,34.3,47.0,35.7
151,Tulsa,38.5,39.3,35.0,35.0,39.7,39.1
151,UC Irvine,38.5,38.0,28.0,35.3,48.0,34.1
156,NC A&T,38.7,38.7,35.0,36.0,40.0,38.1
156,Loyola Chi,38.7,42.0,34.0,39.3,37.5,35.8
158,Saint Peter's,38.8,34.7,35.0,44.5,35.0,34.4
158,N Illinois,38.8,35.0,22.0,44.0,37.5,39.8
158,USC,38.8,38.3,35.0,39.3,38.0,39.2
158,Davidson,38.8,37.7,46.0,47.0,33.3,39.3
162,Texas St,38.8,31.3,30.0,34.3,48.0,37.8
162,J Madison,38.8,32.7,27.0,40.5,38.0,38.2
164,Oregon St,38.9,40.7,39.0,34.7,42.0,34.4
165,Ball St,39.0,40.3,43.0,33.0,45.0,40.2
165,DePaul,39.0,41.0,46.0,39.0,,38.8
165,UTEP,39.0,39.0,39.0,37.0,40.0,38.9
165,San Diego St,39.0,45.3,49.0,35.7,49.0,34.7
165,Idaho St,39.0,37.7,34.0,,39.0,37.0
165,W Michigan,39.0,37.0,26.0,32.3,45.7,40.0
171,UC Davis,39.2,40.0,30.0,36.3,42.0,38.1
171,Howard,39.2,35.7,41.0,42.7,35.7,44.0
171,Akron,39.2,38.7,51.0,37.0,40.3,41.2
171,Nevada,39.2,42.7,36.0,37.0,50.0,35.4
171,App State,39.2,36.7,44.0,35.3,43.0,34.1
176,Jacksonville,39.2,36.7,34.0,,39.2,37.3
176,Sacred Heart,39.2,35.7,39.0,34.0,40.5,39.5
178,N Kentucky,39.3,38.0,36.0,36.0,40.3,34.8
179,Jacksonville St,39.3,39.3,36.0,41.0,36.0,35.6
179,South Carolina,39.3,39.0,43.0,38.0,42.0,37.4
181,Sacramento St,39.4,35.7,44.0,36.5,41.3,35.9
181,Washington St,39.4,37.3,34.0,38.0,45.0,42.0
181,SC Upstate,39.4,40.3,40.0,47.0,37.5,44.6
184,Stony Brook,39.5,45.0,51.0,30.5,48.5,38.9
184,UTSA,39.5,38.3,22.0,43.0,38.3,41.4
184,Baylor,39.5,38.0,38.0,40.0,38.0,35.7
184,Northeastern,39.5,46.7,48.0,44.5,37.0,37.9
